RUN,ARR,A1,A2,A3,B,P
0,12348948,1779275143,578262157,243396294,697525044,598398138
1,1243098689,483786120,55618367,1593260804,1102063524,1808664392
2,628752245,1879707407,684240764,998957012,323888492,1292711421
3,113235344,1780786955,1452397698,1630763562,1859331874,1927785794
4,637408609,1319174702,1292228390,1946414032,1126466234,747559275
5,1352754470,1927782146,586587990,2134556883,6678586,635245113
6,275767041,1478841083,1354651973,635461758,1579224549,1443464699
7,1447192005,2112347065,289435137,1723530142,376884197,743504344
8,1909720092,1902049618,556039981,1901119480,2130946782,996975394
9,1215529810,1768620370,1648769488,180841553,1149163815,1398561126
10,1291255176,976506405,69864867,1776758960,876825351,774235755
11,1613230168,1905710020,596371736,941150998,118427741,536632617
12,181432014,1958158335,85763469,1179989820,1562605888,565266793
13,466435328,388672620,25650994,1786001819,168486873,1385966219
14,1081162740,2036125260,352202246,1845460477,1753589325,141403785
15,659033146,2120404291,1822139462,1842748553,1859757388,945276009
16,1513727555,847473351,1956435495,1087755280,209685036,961048314
17,1011718230,815905647,1957040671,2076513198,795061101,1082028336
18,725063903,1382344935,1785603468,1773708433,1810454227,246708406
19,2018666554,1825433419,871832702,134390721,1415729127,669879364
20,982745509,1634066006,374944130,1364624956,1632830451,1998121965
21,194702709,1629549117,2127307051,1308004452,687899039,1113049154
22,1106026867,1689110721,965708514,458766527,995212116,371493572
23,431948890,1952489373,2063238466,1414507875,589964675,88165569
24,686140467,1666542628,1018088923,836284179,1228286806,669448086
25,46194876,1534271252,628335892,1427503671,18361042,20093038
26,784833810,1482640521,1859044269,1776892110,1781805454,603583363
27,953825783,1130560640,1102188395,376364773,1720611026,28142954
28,74979513,646412888,994931790,387470963,779462783,2120357235
29,826126828,2046583933,711137328,1274880023,1519575252,1930414113
30,1344273245,1857543081,1702988308,1901742087,1371826728,1377212732
31,1047931643,1605488594,1563976789,1928401160,498235858,1739009904
32,731034168,999770603,904318477,1841440734,1942777871,1519337542
33,299036024,1509874044,1394645898,520675114,762878424,2028532679
34,1530323017,1976140903,1944065410,971398059,2042566832,2111184412
35,1079864101,1288516810,2065319944,1887750791,596429331,114032726
36,249455740,1794748245,1305952461,890645598,1923302121,1714367368
37,537216811,1529652256,1480540206,405181715,924043100,909373492
38,1127646256,2063065818,1140997590,1018930290,797269831,177556058
39,344422867,1039633648,329282808,403354195,1977820040,1702177889
