RUN,ARR,A1,A2,A3,B,P
0,12348948,1779275143,578262157,243396294,697525044,1412312583
1,1243098689,2055976726,705565813,249433821,1668878111,2009279395
2,628752245,1465411708,938577083,1240968482,1486578041,113701179
3,113235344,1449662942,959411408,2126499473,2121631625,2049007996
4,637408609,1968910862,2004829393,268821431,1600722432,1023916171
5,1352754470,294646697,519963619,1631724725,271673532,1837648552
6,275767041,771941755,216304342,237299427,513286124,1935698153
7,1447192005,1996566374,1660085118,1893621663,2042183817,811169106
8,1909720092,1326260226,965329303,355288940,1740960076,1236903243
9,1215529810,876014456,354659205,189187083,1344394482,626853746
10,1291255176,754955348,1010482883,413992586,1049797957,1974663977
11,1613230168,1143495046,875702229,796467669,1115345031,320698615
12,181432014,1414560930,215797298,1498217609,1932719854,1892593738
13,466435328,2127938461,1843052388,235240175,549574258,1786218026
14,1081162740,2085570606,2061783009,260410855,2061795862,1510349944
15,659033146,1822876747,1662964724,1336596156,1170200904,1558164353
16,1513727555,947614037,500285960,1492958020,1615726261,1379371683
17,1011718230,1890209052,1544722231,751806645,1611069450,1279849614
18,725063903,1657173552,582580585,459110432,289299653,1723589096
19,2018666554,1274694636,374724075,614831375,1074096614,1305421808
20,982745509,1058655107,572417290,1541290080,1526639909,1227215108
21,194702709,1599279469,1328893172,672951758,2044015749,1824347209
22,1106026867,1267922495,1920014024,1496671288,843049281,536102939
23,431948890,2101182704,1893687339,1400322470,1807069394,1866657571
24,686140467,1333611467,1409932696,930684803,699075830,127084363
25,46194876,1551870192,548543817,1850251540,2067042603,1973590574
26,784833810,979250001,461706871,1830605259,500132901,181913820
27,953825783,1595061619,893157788,1533199402,731440401,2137633932
28,74979513,1674222359,1403245445,96794565,664795274,1980553941
29,826126828,1490651506,573002693,2076751973,1974010682,1876246272
30,1344273245,1192583858,1561482888,590295557,1231184478,1904877749
31,1047931643,2089351188,1319156413,796050971,152477969,771088207
32,731034168,1426844850,901309449,1578950538,1604213465,1468556456
33,299036024,1713905427,1150703244,182748952,1926612950,1925238584
34,1530323017,1524721009,486711895,1692646710,1043809107,489304623
35,1079864101,1676651475,2014154206,1439278403,1518636267,797019193
36,249455740,2141113408,1396304228,2030668365,2069251606,566490883
37,537216811,1494927268,1168736460,1277365528,517718908,1521647266
38,1127646256,1555464604,1827873056,141404889,1154257002,1676809955
39,344422867,1093115399,1925783861,626198399,1817600527,1297235121
40,1965301530,2124595759,80829530,1886071536,754214102,872509847
41,1980048405,1690214432,28983634,877362527,204093673,1657455856
42,861880726,838458872,1259641099,59593366,378316058,392110149
43,643831415,321490259,371036202,1969688730,2122973428,78445976
44,2894081,2098877505,967537623,1588901059,2086640808,19243904
45,113746896,1645276380,1383302102,309673101,1822387090,1315980569
46,1708215084,1896180213,1745761089,1067719833,458563019,1359564298
47,320725905,2014047755,1193258043,793940289,1157217000,1080174891
48,550549032,2100602897,1976794931,1823874181,808992335,1598632329
49,442192047,1658202727,1091729691,1128744037,1426585522,439192216
50,1212333204,1878520271,626211944,2128119652,609529554,675217322
51,1606709534,2098021531,1601473429,397930713,51063069,482830895
52,1104004309,1507204114,441666457,1965614767,1069168474,1505316691
53,1585299434,2145395730,944284726,1092181790,755695377,1218543397
54,556701416,883997359,1427553290,1155876617,670724392,1926746397
55,1071176825,2146304037,2083702846,261500682,1276276073,723377032
56,1812750756,2110904408,9579312,562395606,1574934609,294101377
57,1923062214,650387369,1338670286,1474990920,2036818985,261880493
58,1008006772,2136628657,235124317,41013255,1778517136,677494675
59,1957901133,938562959,2083812241,621897410,2001675464,1802162178
60,1237770220,1114584336,655360496,343776388,1956194057,770814017
61,1116262786,2058454723,1047516740,1159123746,2096712719,693098941
62,608756129,1785527918,1727322901,1426538392,1511660084,1548965374
63,1248361058,914080993,2029134082,1255552183,810474534,1374548695
64,1245495898,2117134052,1936986428,1894492881,540019997,130424976
65,380310946,940258696,1022081699,28877158,583883874,874265598
66,1299459810,1880711581,1375920424,735913064,175461368,1181791580
67,374643287,1065898773,478149261,815274137,609410884,1141643880
68,446315390,2008464241,1011184080,1456548282,146137647,2114909454
69,534243986,1548058280,1614590503,459141583,1003436328,280149164
70,1507815030,226082276,523035521,1188117724,1063727799,1678627394
71,1223549006,2136015423,1882317715,597213557,912544600,1080722428
72,1838808832,1761967893,814504871,153857010,1003805876,224002973
73,1347031668,2016619909,1762803679,927071829,1623509113,1055765543
74,1055782162,2031307264,729788149,1495705695,181666226,1686075653
75,1726314945,2144158122,1214298027,2099236561,2037115302,813434683
76,2140755554,1690487006,1136805414,1550059605,704537716,792481910
77,1645737141,1768400592,1817909900,1516803818,672315426,992228542
78,1662463387,1106604247,1581069857,797477659,647045664,1369594083
79,1601232781,421089424,1901878134,195736909,1175300242,1735003713
80,876148827,1988104905,1722460714,1630051061,557631978,85876213
81,37084099,1441850598,1814057334,1243557795,717036450,498075184
82,1232664878,2087468713,942611221,1381785311,2044461425,284076511
83,1636918509,2033115017,2084734493,289688040,1078880476,192474835
84,1180040221,1117757858,214196506,1307283008,1328664515,262582527
85,1865254863,1660553350,859572005,378269753,295120939,69397991
86,170624104,912108520,1239281496,1467129637,58048911,1515141891
87,596337939,1580972341,829940711,1833170902,1335440207,743932964
88,957849081,1482473183,1787198836,1840297834,1511599135,240097476
89,1010069041,1361950947,1520544354,524757346,2006250203,1131466989
90,573956623,885521847,136248424,1053897462,1408287600,1052328930
91,773618886,2005308505,474515777,1269515670,948350606,1795966027
92,764108423,2041155831,332542695,2121819672,63892403,1582465173
93,1246049408,2047631160,849819295,135692291,1189450319,1754306557
94,1328988392,1776500989,21983768,1466708002,1129484771,1316786454
95,1967167048,2143956986,1348965720,1274614200,1868033918,106379500
96,1836154609,1142059105,666085311,1397024505,1363149414,265416055
97,2074052055,1991221476,1842313719,481122526,257897558,969052366
98,879123765,419290325,234999616,1477210124,1372463157,1821457755
99,1906395595,1587076706,1423119892,451958876,1696119172,1512409421
